channel,concept,correlation,abs_correlation
0,has_triangle,-0.17236216338530772,0.17236216338530772
0,has_square,0.36031706264714675,0.36031706264714675
0,has_circle,-0.1762630344405798,0.1762630344405798
0,has_red,-0.23458630080319484,0.23458630080319484
0,has_green,-0.24002177831301036,0.24002177831301036
0,has_blue,-0.0007817845716015523,0.0007817845716015523
0,has_cyan,0.6672261163785256,0.6672261163785256
0,has_magenta,-0.062077392738118915,0.062077392738118915
0,has_yellow,-0.48173819947242164,0.48173819947242164
1,has_triangle,-0.1714195556760147,0.1714195556760147
1,has_square,0.26042430565466934,0.26042430565466934
1,has_circle,-0.16332890879786252,0.16332890879786252
1,has_red,-0.14353301149809058,0.14353301149809058
1,has_green,-0.13425278726101922,0.13425278726101922
1,has_blue,-0.17599111178021382,0.17599111178021382
1,has_cyan,0.463768992228803,0.463768992228803
1,has_magenta,-0.15921324500875278,0.15921324500875278
1,has_yellow,-0.38833430060233065,0.38833430060233065
2,has_triangle,-0.1657867804552359,0.1657867804552359
2,has_square,-0.030022999360166964,0.030022999360166964
2,has_circle,0.20559653766317626,0.20559653766317626
2,has_red,0.055128627909588175,0.055128627909588175
2,has_green,-0.021050939896830077,0.021050939896830077
2,has_blue,-0.008547228700499782,0.008547228700499782
2,has_cyan,0.0677288984453891,0.0677288984453891
2,has_magenta,-0.110951163391421,0.110951163391421
2,has_yellow,0.08405357319826351,0.08405357319826351
3,has_triangle,-0.13594627605248208,0.13594627605248208
3,has_square,0.2686567679074895,0.2686567679074895
3,has_circle,0.055047362492222904,0.055047362492222904
3,has_red,-0.1007524518462693,0.1007524518462693
3,has_green,-0.051884395509596185,0.051884395509596185
3,has_blue,0.05034429604147571,0.05034429604147571
3,has_cyan,0.1312012274520915,0.1312012274520915
3,has_magenta,-0.0491883451205197,0.0491883451205197
3,has_yellow,-0.27927851891494926,0.27927851891494926
4,has_triangle,-0.12653600077359317,0.12653600077359317
4,has_square,-0.2076565606626947,0.2076565606626947
4,has_circle,0.16119244120622087,0.16119244120622087
4,has_red,0.17529439596547555,0.17529439596547555
4,has_green,-0.05401340475457611,0.05401340475457611
4,has_blue,-0.1254408728122319,0.1254408728122319
4,has_cyan,0.09675657250883309,0.09675657250883309
4,has_magenta,-0.0820606433936315,0.0820606433936315
4,has_yellow,-0.01720963537901874,0.01720963537901874
5,has_triangle,-0.17216376661526767,0.17216376661526767
5,has_square,-0.019540050412819292,0.019540050412819292
5,has_circle,0.0637065164243831,0.0637065164243831
5,has_red,0.08743460148159318,0.08743460148159318
5,has_green,-0.29261408405136696,0.29261408405136696
5,has_blue,0.031622868780236145,0.031622868780236145
5,has_cyan,0.30344312406193935,0.30344312406193935
5,has_magenta,-0.027311644856440487,0.027311644856440487
5,has_yellow,-0.07770724747297289,0.07770724747297289
6,has_triangle,0.18923984885050188,0.18923984885050188
6,has_square,-0.1480525695043867,0.1480525695043867
6,has_circle,-0.17046945275721714,0.17046945275721714
6,has_red,0.08141851800511044,0.08141851800511044
6,has_green,-0.13360314042398932,0.13360314042398932
6,has_blue,-0.057081658015454874,0.057081658015454874
6,has_cyan,0.03539815135951661,0.03539815135951661
